MeasureID,PlotID,Plot,Family,GenusSpecies,Genus,SpeciesName,SubSpeciesName,SpeciesID,Mnemonic,QuadratID,QuadratName,x,y,gx,gy,TreeID,Tag,StemID,StemTag,PrimaryStem,CensusID,PlotCensusNumber,DBH,HOM,ExactDate,ListOfTSM,Status
80751,1,bci,Sapindaceae,Talisia nervosa,Talisia,nervosa,NULL,998,taline,1250,4924,27.6,30.2,993.8,495.1,113285,129251,1,NA,main,6,6,33,1.3,2005-10-11,NULL,alive
80752,1,bci,Violaceae,Hybanthus prunifolius,Hybanthus,prunifolius,NULL,494,hybapr,1250,4924,28.2,39.4,994.1,499.7,113288,129255,1,NA,main,6,6,26,1.3,2005-10-11,NULL,alive
80753,1,bci,Salicaceae,Casearia aculeata,Casearia,aculeata,NULL,158,caseac,1250,4924,24.4,39.2,992.2,499.6,113289,129256,8,NULL,main,6,6,NA,NA,2005-10-11,R,alive
80754,1,bci,Fabaceae-papilionoideae,Ormosia coccinea,Ormosia,coccinea,NULL,1146,ormocr,1250,4924,25.8,38,992.9,499,113290,129257,2,NA,main,6,6,NA,NA,2005-10-11,OR,alive
80755,1,bci,Fabaceae-mimosoideae,Inga pezizifera,Inga,pezizifera,NULL,516,ingape,1250,4924,32.8,31.6,996.4,495.8,113292,129259,1,NA,main,6,6,65,1.3,2005-10-11,NULL,alive
80756,1,bci,Chrysobalanaceae,Hirtella triandra,Hirtella,triandra,NULL,487,hirttr,1250,4924,32.2,30,996.1,495,113294,129261,1,NA,main,6,6,34,1.2,2005-10-11,NULL,alive
80757,1,bci,Burseraceae,Protium panamense,Protium,panamense,NULL,827,protpa,1250,4924,39.4,31.4,999.7,495.7,113296,129263,1,NA,main,6,6,32,1.3,2005-10-11,NULL,alive
80758,1,bci,Rubiaceae,Pentagonia macrophylla,Pentagonia,macrophylla,NULL,750,pentma,1250,4924,36.6,36.8,998.3,498.4,113298,129265,1,NA,main,6,6,27,1.3,2005-10-11,NULL,alive
80759,1,bci,Rubiaceae,Faramea occidentalis,Faramea,occidentalis,NULL,379,faraoc,1250,4924,32.4,21.8,996.2,490.9,113300,129267,1,NA,main,6,6,41,1.3,2005-10-11,NULL,alive
80760,1,bci,Chrysobalanaceae,Hirtella triandra,Hirtella,triandra,NULL,487,hirttr,1250,4924,35.8,19.6,997.9,489.8,113304,129271,1,NA,main,6,6,197,1.3,2005-10-11,NULL,alive
